design_id,primary_theme,prompt,recommended_product,etsy_title,etsy_tags,thumbnail_brief,mockup_brief,price_usd
SPAI-ETSY-011,Border Collie Athlete,"Monoline border collie agility pose, modern athletic brand vibe",Unisex Tee,"Border Collie Agility Shirt | Minimal Athletic Dog Lover Tee","border collie shirt;agility dog tee;athletic dog design;minimal line shirt;dog sport gift;pet trainer gift;dog mom tee;dog dad tee;activewear graphic;gym dog shirt;clean logo style;gift for runner;streetwear dog tee","Single-line border collie in running pose with modern brand-like negative space.","Sporty model mockup in motion + flat lay with sneakers and bottle.",30.00
SPAI-ETSY-012,Boho Poodle,"Boho-style poodle with botanical ornaments, earthy tones, premium lifestyle feel",Crewneck Sweatshirt,"Boho Poodle Sweatshirt | Botanical Dog Lover Aesthetic","poodle sweatshirt;boho dog top;botanical dog design;earth tone outfit;pet lover sweatshirt;cozy dog fashion;gift for poodle owner;dog mom style;fall fashion dog;bohemian clothing;premium dog merch;gift for her;casual aesthetic","Poodle portrait with botanical ornaments, clay and moss tone palette.","Neutral sweatshirt mockup in studio + close-up print texture shot.",46.00
SPAI-ETSY-013,Minimal Paw Typography,"Minimal typography plus paw icon composition, clean geometric balance",Unisex Tee,"Minimal Paw Print Shirt | Clean Typographic Dog Lover Tee","paw print shirt;minimal dog tee;typography shirt;clean design tee;pet lover fashion;simple graphic shirt;everyday outfit tee;dog mom minimalist;dog dad minimalist;gift under 35;neutral style shirt;modern pet design;small business apparel","Centered geometric paw icon with short typography and lots of negative space.","White and sand shirt mockups with front-only print, clean ecommerce look.",28.00
SPAI-ETSY-014,Birthday Cat Gift,"Birthday gift design for a cat lover, playful watercolor style, pastel colors, centered composition, clean background",Unisex Tee,"Cat Birthday Gift Shirt | Pastel Watercolor Cat Lover Tee","cat birthday gift;cat lover shirt;pastel cat tee;watercolor cat design;birthday present idea;gift for cat mom;gift for cat dad;cute cat apparel;party cat shirt;pet birthday style;gift for sister;gift for friend;cat fan merch","Playful watercolor cat with confetti and pastel birthday accents.","Birthday party themed mockup with shirt folded near gift box and balloons.",30.00
SPAI-ETSY-015,Vintage City Night,"Vintage Van Gogh style starry night over a city",Canvas,"Vintage Starry Night City Canvas | Artistic Wall Decor","starry night art;vintage city canvas;van gogh inspired;night sky wall art;living room decor;bedroom canvas print;gift for artist;cityscape wall decor;gallery wall piece;home art gift;premium canvas print;modern wall design;housewarming gift","Swirling night sky over city skyline, painterly brush texture and deep blue-gold contrast.","Canvas lifestyle mockup in modern apartment + detail zoom of brushstroke effect.",85.00
SPAI-ETSY-016,Floral Corgi,"Watercolor corgi with floral frame, soft pastel palette, cozy lifestyle aesthetic",Phone Case,"Floral Corgi Phone Case | Pastel Dog Lover Accessory","corgi phone case;dog lover phone case;floral phone cover;pastel aesthetic case;pet owner gift;cute phone accessory;corgi mom gift;corgi dad gift;gift for teen;gift for her;cozy aesthetic style;animal illustration;dog fan accessory","Corgi portrait in floral oval frame, pastel tones and soft edge lighting.","Phone case mockup front/back + hand-held lifestyle shot.",25.00
SPAI-ETSY-017,Neon Wolf,"Geometric wolf in neon colors",Unisex Tee,"Neon Geometric Wolf Shirt | Futuristic Animal Graphic Tee","wolf shirt;geometric wolf;neon animal tee;futuristic shirt;streetwear wolf design;wildlife graphic shirt;gift for gamer;gift for teen;bold statement tee;modern animal art;festival shirt;edgy graphic top;unisex wolf shirt","Angular neon wolf face with symmetric geometry and high contrast glow.","Black tee mockup under dark lighting + close-up neon color pop.",32.00
SPAI-ETSY-018,Cherry Blossom Sunset,"Japanese cherry blossoms at sunset, watercolor",Poster,"Cherry Blossom Sunset Poster | Japanese Watercolor Wall Print","cherry blossom poster;japanese watercolor art;sunset wall print;asian decor poster;calm bedroom decor;gift for her;gift for mom;zen wall art;pastel wall poster;minimal decor print;flower art poster;home office decor;quiet luxury decor","Soft cherry blossoms against warm sunset wash, airy negative space.","Poster mockup in Scandinavian room + close-up on watercolor gradient.",22.00
SPAI-ETSY-019,Cosmic Cat Astronaut,"Cosmic cat astronaut, detailed helmet reflections, galaxy color palette, centered composition",Unisex Tee,"Cosmic Cat Astronaut Shirt | Space Cat Graphic Tee","space cat shirt;astronaut cat tee;cosmic graphic shirt;galaxy cat design;sci fi cat gift;nerd gift shirt;cat lover apparel;funny cat astronaut;gift for him;gift for her;festival cat shirt;unisex graphic tee;space lover gift","Centered cat astronaut with reflective helmet and galaxy gradient background.","Dark tee mockup with glow effect + flat lay near neon accessories.",31.00
SPAI-ETSY-020,Minimal Lion Galaxy,"A majestic lion made of galaxies and stars, high contrast, premium print-ready composition",Hoodie,"Galaxy Lion Hoodie | Majestic Space Lion Graphic Sweatshirt","lion hoodie;galaxy lion design;space animal hoodie;majestic lion art;premium graphic hoodie;gift for men;gift for women;bold streetwear hoodie;night sky artwork;motivational lion design;cosmic fashion;unisex hoodie gift;statement hoodie","Lion portrait filled with starfield and nebula gradients, high contrast center composition.","Charcoal hoodie mockup on model + zoom crop of galaxy detail.",58.00
